y,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,year
0,56,8,2,4,1,1,2,2,7,2,307,1,999,0,2,93.994,-36.4,4.857,2008
0,30,11,2,4,1,1,1,2,7,2,38,1,999,0,2,93.994,-36.4,4.857,2008
0,40,2,2,3,1,1,2,2,7,2,178,1,999,0,2,93.994,-36.4,4.857,2008
0,42,2,2,2,2,1,1,2,7,2,366,1,999,0,2,93.994,-36.4,4.857,2008
0,48,1,2,4,1,1,1,2,7,2,357,1,999,0,2,93.994,-36.4,4.857,2008
0,35,1,2,7,1,2,1,2,7,2,180,2,999,0,2,93.994,-36.4,4.857,2008
0,56,2,2,1,2,1,1,2,7,2,100,2,999,0,2,93.994,-36.4,4.857,2008
0,39,5,2,7,1,2,1,2,7,2,193,1,999,0,2,93.994,-36.4,4.857,2008
0,37,2,2,3,1,1,1,2,7,2,270,1,999,0,2,93.994,-36.4,4.857,2008
0,46,2,2,2,2,2,1,2,7,2,240,1,999,0,2,93.994,-36.4,4.857,2008
0,38,2,3,3,1,2,1,2,7,2,179,2,999,0,2,93.994,-36.4,4.857,2008
0,37,1,2,4,2,2,1,2,7,2,313,1,999,0,2,93.994,-36.4,4.857,2008
0,36,8,3,1,1,1,1,2,7,2,291,1,999,0,2,93.994,-36.4,4.857,2008
0,39,2,2,6,2,2,1,2,7,2,471,1,999,0,2,93.994,-36.4,4.857,2008
0,45,2,2,1,1,2,2,2,7,2,177,1,999,0,2,93.994,-36.4,4.857,2008
0,32,5,1,1,2,2,1,2,7,2,127,2,999,0,2,93.994,-36.4,4.857,2008
0,52,7,2,7,2,1,1,2,7,2,175,1,999,0,2,93.994,-36.4,4.857,2008
0,43,5,2,7,2,1,2,2,7,2,213,3,999,0,2,93.994,-36.4,4.857,2008
0,57,6,2,4,1,1,1,2,7,2,238,2,999,0,2,93.994,-36.4,4.857,2008
0,32,10,3,6,1,1,1,2,7,2,79,1,999,0,2,93.994,-36.4,4.857,2008
0,33,1,2,4,1,1,2,2,7,2,181,1,999,0,2,93.994,-36.4,4.857,2008
0,55,2,2,1,2,1,1,2,7,2,102,2,999,0,2,93.994,-36.4,4.857,2008
0,34,1,3,3,2,1,1,2,7,2,453,2,999,0,2,93.994,-36.4,4.857,2008
0,43,8,2,4,1,2,1,2,7,2,241,2,999,0,2,93.994,-36.4,4.857,2008
0,32,2,2,3,1,1,1,2,7,2,98,2,999,0,2,93.994,-36.4,4.857,2008
0,33,8,2,1,1,1,1,2,7,2,229,3,999,0,2,93.994,-36.4,4.857,2008
0,41,7,2,4,1,2,1,2,7,4,102,1,999,0,2,93.994,-36.4,4.857,2008
0,38,1,3,7,1,1,1,2,7,4,189,1,999,0,2,93.994,-36.4,4.857,2008
0,33,1,2,3,1,2,1,2,7,4,235,1,999,0,2,93.994,-36.4,4.857,2008
0,52,8,1,2,1,1,1,2,7,4,393,1,999,0,2,93.994,-36.4,4.857,2008
0,49,2,2,3,1,1,1,2,7,4,102,2,999,0,2,93.994,-36.4,4.857,2008
0,47,1,1,7,1,1,1,2,7,4,196,1,999,0,2,93.994,-36.4,4.857,2008
0,51,8,1,4,2,2,1,2,7,4,568,1,999,0,2,93.994,-36.4,4.857,2008
0,50,8,2,3,1,2,2,2,7,4,369,1,999,0,2,93.994,-36.4,4.857,2008
0,30,8,3,4,1,1,1,2,7,4,102,1,999,0,2,93.994,-36.4,4.857,2008
0,33,7,2,7,1,1,1,2,7,4,792,1,999,0,2,93.994,-36.4,4.857,2008
0,42,3,2,2,1,1,1,2,7,4,179,2,999,0,2,93.994,-36.4,4.857,2008
0,42,10,2,3,1,1,1,2,7,4,209,1,999,0,2,93.994,-36.4,4.857,2008
0,39,8,2,4,2,1,1,2,7,4,218,4,999,0,2,93.994,-36.4,4.857,2008
0,47,10,2,6,1,1,1,2,7,4,79,4,999,0,2,93.994,-36.4,4.857,2008
0,33,8,2,4,1,1,1,2,7,4,322,2,999,0,2,93.994,-36.4,4.857,2008
0,43,8,2,4,1,1,2,2,7,4,262,1,999,0,2,93.994,-36.4,4.857,2008
0,27,10,2,3,1,1,2,2,7,4,245,2,999,0,2,93.994,-36.4,4.857,2008
0,54,1,2,4,1,1,1,2,7,4,65,3,999,0,2,93.994,-36.4,4.857,2008
0,56,5,2,7,2,1,1,2,7,4,191,1,999,0,2,93.994,-36.4,4.857,2008
0,44,1,2,4,1,2,1,2,7,4,221,2,999,0,2,93.994,-36.4,4.857,2008
0,50,4,2,1,2,2,1,2,7,4,176,2,999,0,2,93.994,-36.4,4.857,2008
