y,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,year
0,56,4,2,1,1,1,1,2,7,2,261,1,999,0,2,93.994,-36.4,4.857,2008
0,57,8,2,4,2,1,1,2,7,2,149,1,999,0,2,93.994,-36.4,4.857,2008
0,37,8,2,4,1,2,1,2,7,2,226,1,999,0,2,93.994,-36.4,4.857,2008
0,40,1,2,2,1,1,1,2,7,2,151,1,999,0,2,93.994,-36.4,4.857,2008
0,45,8,2,3,2,1,1,2,7,2,198,1,999,0,2,93.994,-36.4,4.857,2008
0,59,1,2,6,1,1,1,2,7,2,139,1,999,0,2,93.994,-36.4,4.857,2008
0,24,10,3,6,1,2,1,2,7,2,380,1,999,0,2,93.994,-36.4,4.857,2008
0,25,8,3,4,1,2,1,2,7,2,50,1,999,0,2,93.994,-36.4,4.857,2008
0,25,8,3,4,1,2,1,2,7,2,222,1,999,0,2,93.994,-36.4,4.857,2008
0,29,2,3,4,1,1,2,2,7,2,137,1,999,0,2,93.994,-36.4,4.857,2008
0,57,4,1,1,1,2,1,2,7,2,293,1,999,0,2,93.994,-36.4,4.857,2008
0,35,2,2,2,1,2,1,2,7,2,146,1,999,0,2,93.994,-36.4,4.857,2008
0,54,6,2,3,2,2,2,2,7,2,174,1,999,0,2,93.994,-36.4,4.857,2008
0,35,2,2,2,1,2,1,2,7,2,312,1,999,0,2,93.994,-36.4,4.857,2008
0,46,2,2,2,2,2,2,2,7,2,440,1,999,0,2,93.994,-36.4,4.857,2008
0,50,2,2,3,1,2,2,2,7,2,353,1,999,0,2,93.994,-36.4,4.857,2008
0,39,5,3,3,2,1,1,2,7,2,195,1,999,0,2,93.994,-36.4,4.857,2008
0,55,2,2,1,2,2,1,2,7,2,262,1,999,0,2,93.994,-36.4,4.857,2008
0,55,6,3,4,1,2,1,2,7,2,342,1,999,0,2,93.994,-36.4,4.857,2008
0,41,10,3,4,1,2,1,2,7,2,181,1,999,0,2,93.994,-36.4,4.857,2008
0,37,1,2,4,1,2,1,2,7,2,172,1,999,0,2,93.994,-36.4,4.857,2008
0,35,10,2,7,1,1,2,2,7,2,99,1,999,0,2,93.994,-36.4,4.857,2008
0,39,7,2,3,2,1,1,2,7,2,233,1,999,0,2,93.994,-36.4,4.857,2008
0,54,10,3,7,2,1,1,2,7,2,255,2,999,0,2,93.994,-36.4,4.857,2008
0,54,5,2,1,2,2,1,2,7,2,230,1,999,0,2,93.994,-36.4,4.857,2008
0,54,2,1,1,1,1,1,2,7,2,208,1,999,0,2,93.994,-36.4,4.857,2008
0,34,8,2,4,1,1,1,2,7,2,365,1,999,0,2,93.994,-36.4,4.857,2008
0,52,10,2,3,1,2,1,2,7,2,1666,1,999,0,2,93.994,-36.4,4.857,2008
0,41,1,2,7,1,2,1,2,7,2,577,1,999,0,2,93.994,-36.4,4.857,2008
